ac_no,name,pc_name,district,mla,party
79,Bhatkal,UTTARA KANNADA,UTTARA KANNADA,M. S. Vaidya,Indian National Congress
98,Challakere,CHITRADURGA (SC),CHITRADURGA,T. Raghumurthy,Indian National Congress
110,Honnali,DAVANAGERE,DAVANGERE*,D. G. Shantana Gowda,Indian National Congress
117,Sagar,SHIMOGA,SHIMOGA,,
99,Chitradurga,CHITRADURGA (SC),CHITRADURGA,K. C. Veerendra,Indian National Congress
137,Pavagada,CHITRADURGA (SC),TUMKUR,H. V. Venkatesh,Indian National Congress
109,Channagiri,DAVANAGERE,DAVANGERE*,Basavaraju V. Shivaganga,Indian National Congress
100,Hiriyur,CHITRADURGA (SC),CHITRADURGA,Vacant,2023
111,Shimoga Rural,SHIMOGA,SHIMOGA,Sharada Puryanaik,
136,Sira,CHITRADURGA (SC),TUMKUR,T. B. Jayachandra,Indian National Congress
118,Byndoor,SHIMOGA,UDUPI *,Gururaj Gantihole,Bharatiya Janata Party
114,Tirthahalli,SHIMOGA,SHIMOGA,Araga Jnanendra,Bharatiya Janata Party
113,Shimoga,SHIMOGA,SHIMOGA,S. N. Channabasappa,Bharatiya Janata Party
101,Hosadurga,CHITRADURGA (SC),CHITRADURGA,B. G. Govindappa,Indian National Congress
112,Bhadravati,SHIMOGA,SHIMOGA,B. K. Sangameshwara,Indian National Congress
126,Tarikere,UDUPI CHIKMAGALUR,CHIKMAGALUR,G. H. Srinivasa,Indian National Congress
140,Bagepalli,CHIKKBALLAPUR,KOLAR,S. N. Subbareddy,Indian National Congress
138,Madhugiri,TUMKUR,TUMKUR,K. N. Rajanna,Indian National Congress
123,Sringeri,UDUPI CHIKMAGALUR,CHIKMAGALUR,T. D. Rajegowda,Indian National Congress
128,Chiknayakanhalli,TUMKUR,TUMKUR,,
127,Kadur,HASSAN,CHIKMAGALUR,K. S. Anand,
139,Gauribidanur,CHIKKBALLAPUR,KOLAR,K. H. Puttaswamy Gowda,Independent
119,Kundapura,UDUPI CHIKMAGALUR,UDUPI *,Kiran Kumar Kodgi,Bharatiya Janata Party
134,Koratagere,TUMKUR,TUMKUR,G. Parameshwara,Indian National Congress
141,Chikkaballapur,CHIKKBALLAPUR,KOLAR,,
142,Sidlaghatta,KOLAR (SC),KOLAR,B. N. Ravi Kumar,
143,Chintamani,KOLAR (SC),KOLAR,M. C. Sudhakar,Indian National Congress
120,Udupi,UDUPI CHIKMAGALUR,UDUPI *,Yashpal Anand Suvarna,Bharatiya Janata Party
125,Chikmagalur,UDUPI CHIKMAGALUR,CHIKMAGALUR,H. D. Thammaiah,Indian National Congress
122,Karkal,UDUPI CHIKMAGALUR,UDUPI *,,
135,Gubbi,TUMKUR,TUMKUR,S. R. Srinivas,Indian National Congress
194,Arsikere,HASSAN,HASSAN,K. M. Shivalinge Gowda,Indian National Congress
144,Srinivaspur,KOLAR (SC),KOLAR,,
133,Tumkur Rural,TUMKUR,TUMKUR,B. Suresh Gowda,Bharatiya Janata Party
121,Kapu,UDUPI CHIKMAGALUR,UDUPI *,Gurme Suresh Shetty,Bharatiya Janata Party
180,Doddaballapur,CHIKKBALLAPUR,BANGALORE RURAL,Dheeraj Muniraju,Bharatiya Janata Party
124,Mudigere,UDUPI CHIKMAGALUR,CHIKMAGALUR,Nayana Motamma,Indian National Congress
129,Tiptur,TUMKUR,TUMKUR,K. Shadakshari,Indian National Congress
179,Devanahalli,CHIKKBALLAPUR,BANGALORE RURAL,K. H. Muniyappa,Indian National Congress
195,Belur,HASSAN,HASSAN,H. K. Suresh,Bharatiya Janata Party
132,Tumkur City,TUMKUR,TUMKUR,G. B. Jyothi Ganesh,Bharatiya Janata Party
181,Nelamangala,CHIKKBALLAPUR,BANGALORE RURAL,N Srinivas,Indian National Congress
130,Turuvekere,TUMKUR,TUMKUR,M. T. Krishnappa,
145,Mulbagal,KOLAR (SC),KOLAR,Samruddhi Manjunath,
148,Kolar,KOLAR (SC),KOLAR,Kothur G. Manjunath,Indian National Congress
200,Belthangady,DAKSHINA KANNADA,DAKSHINA KANNADA,Harish Poonja,Bharatiya Janata Party
196,Hassan,HASSAN,HASSAN,Swaroop Prakash,
201,Moodabidri,DAKSHINA KANNADA,DAKSHINA KANNADA,Umanatha A. Kotian,Bharatiya Janata Party
178,Hosakote,CHIKKBALLAPUR,BANGALORE RURAL,Sharath Kumar Bache Gowda,Indian National Congress
150,Yelahanka,CHIKKBALLAPUR,BANGALORE,S. R. Vishwanath,Bharatiya Janata Party
193,Shravanabelagola,HASSAN,HASSAN,C. N. Balakrishna,
197,Holenarasipur,HASSAN,HASSAN,H. D. Revanna,
182,Magadi,BANGALORE RURAL,BANGALORE RURAL,H. C. Balakrishna,Indian National Congress
152,Byatarayanapura,BANGALORE NORTH,BANGALORE,Krishna Byre Gowda,Indian National Congress
147,Bangarapet,KOLAR (SC),KOLAR,S. N. Narayanaswamy,Indian National Congress
131,Kunigal,BANGALORE RURAL,TUMKUR,H. D. Ranganath,Indian National Congress
202,Mangalore City North,DAKSHINA KANNADA,DAKSHINA KANNADA,Y. Bharath Shetty,Bharatiya Janata Party
203,Mangalore City South,DAKSHINA KANNADA,DAKSHINA KANNADA,D. Vedavyas Kamath,Bharatiya Janata Party
199,Sakleshpur,HASSAN,HASSAN,Cement Manju,Bharatiya Janata Party
205,Bantval,DAKSHINA KANNADA,DAKSHINA KANNADA,U. Rajesh Naik,Bharatiya Janata Party
174,Mahadevapura,BANGALORE CENTRAL,BANGALORE,Manjula Aravind Limbavali,Bharatiya Janata Party
149,Malur,KOLAR (SC),KOLAR,K. Y. Nanje Gowda,Indian National Congress
155,Dasarahalli,BANGALORE NORTH,BANGALORE,S. Muniraju,Bharatiya Janata Party
191,Nagamangala,MANDYA,MANDYA,N. Chaluvaraya Swamy,Indian National Congress
151,K.R.Pura,BANGALORE NORTH,BANGALORE,,
146,Kolar Gold Field,KOLAR (SC),KOLAR,M. Roopakala,Indian National Congress
154,Rajarajeshwarinagar,BANGALORE RURAL,BANGALORE,Munirathna,Bharatiya Janata Party
153,Yeshvanthapura,BANGALORE NORTH,BANGALORE,S. T. Somashekhar,Bharatiya Janata Party
160,Sarvagnanagar,BANGALORE CENTRAL,BANGALORE,K. J. George,Indian National Congress
158,Hebbal,BANGALORE NORTH,BANGALORE,Byrathi Suresh,Indian National Congress
157,Malleshwaram,BANGALORE NORTH,BANGALORE,C. N. Ashwath Narayan,Bharatiya Janata Party
159,Pulakeshinagar,BANGALORE NORTH,BANGALORE,A. C. Srinivasa,Indian National Congress
156,Mahalakshmi Layout,BANGALORE NORTH,BANGALORE,K. Gopalaiah,BJP
204,Mangalore,DAKSHINA KANNADA,DAKSHINA KANNADA,U. T. Khader,Indian National Congress
162,Shivajinagar,BANGALORE CENTRAL,BANGALORE,,
161,C.V. Raman Nagar,BANGALORE CENTRAL,BANGALORE,,
164,Gandhi Nagar,BANGALORE CENTRAL,BANGALORE,,
