state,constituency,name,name_title,party,photo_url
Madhya Pradesh,Satna,Ganesh Singh,Ganesh Singh,Bharatiya Janata Party,
Madhya Pradesh,Rewa,Janardan Mishra,Janardan Mishra,Bharatiya Janata Party,
Madhya Pradesh,Sidhi,Rajesh Mishra,Rajesh Mishra,Bharatiya Janata Party,
Madhya Pradesh,Shahdol,Himadri Singh,Himadri Singh,Bharatiya Janata Party,
Madhya Pradesh,Jabalpur,Ashish Dubey,Ashish Dubey,Bharatiya Janata Party,
Madhya Pradesh,Mandla,Faggan Singh Kulaste,Faggan Singh Kulaste,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/0/02/Shri_Faggan_Singh_Kulaste_taking_charge_as_the_Minister_of_State_for_Steel%2C_in_New_Delhi_on_May_31%2C_2019_%28cropped%29.jpg
Madhya Pradesh,Balaghat,Bharti Pardhi,Bharti Pardhi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/1/17/Bharti_Pardhi%2C_Member_of_18th_Lok_Sabha_along_at_Rashtrapati_Bhavan_%28cropped%29.jpg
Madhya Pradesh,Chhindwara,Vivek Kumar Sahu,Vivek Kumar Sahu,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Vivek_Bunty_Sahu.jpg/500px-Vivek_Bunty_Sahu.jpg
Madhya Pradesh,Hoshangabad,Darshan Singh Choudhary,Darshan Singh Choudhary,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/c/ce/Darshan_Singh_Choudhary.jpg
Madhya Pradesh,Vidisha,Shivraj Singh Chauhan,Shivraj Singh Chauhan,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/b/b8/Shivraj_Singh_Chouhan_2025.jpg
Madhya Pradesh,Bhopal,Alok Sharma,Alok Sharma (Indian politician),Bharatiya Janata Party,
Madhya Pradesh,Rajgarh,Rodmal Nagar,Rodmal Nagar,Bharatiya Janata Party,
Madhya Pradesh,Dewas,Mahendra Solanki,Mahendra Solanki,Bharatiya Janata Party,
Madhya Pradesh,Ujjain,Anil Firojiya,Anil Firojiya,Bharatiya Janata Party,
Madhya Pradesh,Mandsaur,Sudhir Gupta,Sudhir Gupta,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/0/00/SudhirGupta.jpg
Madhya Pradesh,Ratlam,Anita Nagar Singh Chouhan,Anita Nagar Singh Chouhan,Bharatiya Janata Party,
Madhya Pradesh,Dhar,Savitri Thakur,Savitri Thakur,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Savitri_Thakur_Minister.jpg/500px-Savitri_Thakur_Minister.jpg
Madhya Pradesh,Indore,Shankar Lalwani,Shankar Lalwani,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Shri_Shankar_Lalwani.jpg/500px-Shri_Shankar_Lalwani.jpg
Madhya Pradesh,Khargone,Gajendra Patel,Gajendra Patel,Bharatiya Janata Party,
Madhya Pradesh,Khandwa,Gyaneswar Patil,Gyaneswar Patil,Bharatiya Janata Party,
Madhya Pradesh,Betul,Durga Das Uikey,Durga Das Uikey,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Durga_Das_Uikey_2024_%28cropped%29.jpg/500px-Durga_Das_Uikey_2024_%28cropped%29.jpg
Maharashtra,Nandurbar,Gowaal Kagada Padavi,Gowaal Kagada Padavi,Indian National Congress,
Maharashtra,Dhule,Bachhav Shobha Dinesh,Bachhav Shobha Dinesh,Indian National Congress,
Maharashtra,Jalgaon,Smita Wagh,Smita Wagh,Bharatiya Janata Party,
Maharashtra,Raver,Raksha Khadse,Raksha Khadse,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Raksha_Nikhil_Khadse_assumed_charge_as_the_Minister_of_State_for_Youth_Affairs_and_Sports_%28cropped%29.jpg/500px-Raksha_Nikhil_Khadse_assumed_charge_as_the_Minister_of_State_for_Youth_Affairs_and_Sports_%28cropped%29.jpg
Maharashtra,Buldhana,Prataprao Jadhav,Prataprao Jadhav,Shiv Sena (2022–present),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Prataprao_Jadhav_%28cropped%29.jpg/500px-Prataprao_Jadhav_%28cropped%29.jpg
Maharashtra,Akola,Anup Dhotre,Anup Dhotre,Bharatiya Janata Party,
Maharashtra,Amravati,Balwant Wankhade,Balwant Baswant Wankhade,Indian National Congress,
Maharashtra,Wardha,Amar Kale,Amar Sharadrao Kale,Nationalist Congress Party (Sharadchandra Pawar),
Maharashtra,Ramtek,Shyamkumar (Bablu) Barve,Shyamkumar Barve,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/c/c9/Shyamkumar_Barve.png
